id,handle,followers_count,friends_count,isProxy
0,"PetraSammer",2064,519,0
1,"PRNewswire",126005,27270,0
2,"intertainment",6392,2984,0
3,"DWDL",100684,139,0
4,"MEEDIA",107326,486,0
5,"GPRA",3810,834,0
6,"21TORR",1021,992,0
7,"StZ_NEWS",139019,1030,0
8,"StN_News",43324,2541,0
9,"prjournal",10712,180,0
10,"PRDaily",115803,5989,0
11,"JugendpresseBW",353,91,0
12,"PRNews",177683,44416,0
13,"KOM_Magazin",14779,590,0
14,"LPRS_eV",1318,426,0
15,"pr_magazin",9017,1,0
16,"DPRGde",6028,334,0
17,"PR_Studierende",2290,787,0
18,"WordsValues",679,1144,0
19,"hdm_stgt",4246,52,0
20,"kommoguntia",1033,523,0
21,"WSGermany",877,275,0
22,"prreportawards",1962,448,0
23,"PRReporter",6642,6270,0
24,"medienrot",1914,757,0
25,"jenscornelissen",1049,727,0
26,"agenturjobs_de",477,903,0
27,"PR_ideen",795,167,0
28,"pr_parcours",445,5,0
29,"hdm_praktisch",221,28,0
30,"Luke_Z04",49,338,0
31,"KommunikOS",665,387,0